time_sec,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch
3.133333,-0.03505684,-1.170002,0.1745329,-1.29692,0.5235993,-0.2792527,0.03490658,-1.255865,-0.08176879,-1.293514,-0.4363325,-0.174533
3.166667,-0.03499691,-1.16978,0.1745329,-1.297796,0.5235993,-0.2792527,0.03490658,-1.255865,-0.08220624,-1.294491,-0.4363326,-0.174533
3.2,-0.03494932,-1.169567,0.1745329,-1.298478,0.5235993,-0.2792527,0.03490658,-1.255865,-0.08265172,-1.295552,-0.4363326,-0.174533
3.233333,-0.03491792,-1.169367,0.1745329,-1.298979,0.5235993,-0.2792527,0.03490658,-1.255865,-0.0831008,-1.296699,-0.4363326,-0.174533
3.266667,-0.03490659,-1.169183,0.1745329,-1.299312,0.5235993,-0.2792527,0.03490658,-1.255865,-0.08354899,-1.297936,-0.4363326,-0.174533
3.3,-0.03490659,-1.169018,0.1745329,-1.299491,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08399186,-1.299264,-0.4363326,-0.174533
3.333333,-0.03490659,-1.168876,0.1745329,-1.29953,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08442492,-1.300688,-0.4363326,-0.174533
3.366667,-0.03490659,-1.168759,0.1745329,-1.299441,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08484374,-1.302209,-0.4363326,-0.174533
3.4,-0.03490659,-1.168672,0.1745329,-1.29924,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08524384,-1.303831,-0.4363326,-0.174533
3.433333,-0.03490659,-1.168617,0.1745329,-1.298938,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08562077,-1.305679,-0.4363326,-0.1745329
